administration_id,dataset_id,subject_id,age,lab_age,lab_age_units,monitor_size_x,monitor_size_y,sample_rate,tracker,coding_method
29,0,29,38,3.139726027,years,1600,1200,120,SMI,eyetracking
30,0,30,38,3.2,years,1600,1200,120,SMI,eyetracking
31,0,31,38,3.202739726,years,1600,1200,120,SMI,eyetracking
32,0,32,39,3.232876712,years,1600,1200,120,SMI,eyetracking
33,0,33,40,3.295890411,years,1600,1200,120,SMI,eyetracking
34,0,34,40,3.353424658,years,1600,1200,120,SMI,eyetracking
35,0,35,43,3.583561644,years,1600,1200,120,SMI,eyetracking
36,0,36,44,3.660273973,years,1600,1200,120,SMI,eyetracking
37,0,37,44,3.668493151,years,1600,1200,120,SMI,eyetracking
38,0,38,46,3.808219178,years,1600,1200,120,SMI,eyetracking
39,0,39,47,3.936986301,years,1600,1200,120,SMI,eyetracking
40,0,40,48,3.98630137,years,1600,1200,120,SMI,eyetracking
41,0,41,51,4.235616438,years,1600,1200,120,SMI,eyetracking
42,0,42,51,4.279452055,years,1600,1200,120,SMI,eyetracking
43,0,43,53,4.416438356,years,1600,1200,120,SMI,eyetracking
44,0,44,54,4.482191781,years,1600,1200,120,SMI,eyetracking
45,0,45,56,4.62739726,years,1600,1200,120,SMI,eyetracking
46,0,46,58,4.849315068,years,1600,1200,120,SMI,eyetracking
47,0,47,59,4.942465753,years,1600,1200,120,SMI,eyetracking
48,0,48,60,4.975342466,years,1600,1200,120,SMI,eyetracking
49,0,49,59,4.947945205,years,1600,1200,120,SMI,eyetracking
50,0,50,12,1.010958904,years,1600,1200,120,SMI,eyetracking
51,0,51,13,1.073972603,years,1600,1200,120,SMI,eyetracking
52,0,52,13,1.079452055,years,1600,1200,120,SMI,eyetracking
53,0,53,14,1.147945205,years,1600,1200,120,SMI,eyetracking
54,0,54,15,1.276712329,years,1600,1200,120,SMI,eyetracking
55,0,55,16,1.328767123,years,1600,1200,120,SMI,eyetracking
56,0,56,17,1.380821918,years,1600,1200,120,SMI,eyetracking
57,0,57,17,1.38630137,years,1600,1200,120,SMI,eyetracking
58,0,58,17,1.41369863,years,1600,1200,120,SMI,eyetracking
59,0,59,17,1.424657534,years,1600,1200,120,SMI,eyetracking
60,0,60,19,1.547945205,years,1600,1200,120,SMI,eyetracking
61,0,61,19,1.550684932,years,1600,1200,120,SMI,eyetracking
62,0,62,19,1.57260274,years,1600,1200,120,SMI,eyetracking
63,0,63,19,1.616438356,years,1600,1200,120,SMI,eyetracking
64,0,64,19,1.624657534,years,1600,1200,120,SMI,eyetracking
65,0,65,20,1.671232877,years,1600,1200,120,SMI,eyetracking
66,0,66,23,1.920547945,years,1600,1200,120,SMI,eyetracking
67,0,67,24,1.997260274,years,1600,1200,120,SMI,eyetracking
68,0,68,24,2.038356164,years,1600,1200,120,SMI,eyetracking
69,0,69,25,2.117808219,years,1600,1200,120,SMI,eyetracking
70,0,70,28,2.353424658,years,1600,1200,120,SMI,eyetracking
71,0,71,28,2.367123288,years,1600,1200,120,SMI,eyetracking
72,0,72,30,2.465753425,years,1600,1200,120,SMI,eyetracking
73,0,73,31,2.578082192,years,1600,1200,120,SMI,eyetracking
74,0,74,31,2.605479452,years,1600,1200,120,SMI,eyetracking
75,0,75,31,2.621917808,years,1600,1200,120,SMI,eyetracking
76,0,76,32,2.687671233,years,1600,1200,120,SMI,eyetracking
77,0,77,33,2.747945205,years,1600,1200,120,SMI,eyetracking
78,0,78,33,2.75890411,years,1600,1200,120,SMI,eyetracking
79,0,79,34,2.835616438,years,1600,1200,120,SMI,eyetracking
80,0,80,34,2.863013699,years,1600,1200,120,SMI,eyetracking
81,0,81,35,2.895890411,years,1600,1200,120,SMI,eyetracking
82,0,82,36,3.002739726,years,1600,1200,120,SMI,eyetracking
83,0,83,38,3.126027397,years,1600,1200,120,SMI,eyetracking
84,0,84,38,3.131506849,years,1600,1200,120,SMI,eyetracking
85,0,85,38,3.164383562,years,1600,1200,120,SMI,eyetracking
86,0,86,39,3.216438356,years,1600,1200,120,SMI,eyetracking
87,0,87,39,3.265753425,years,1600,1200,120,SMI,eyetracking
88,0,88,42,3.506849315,years,1600,1200,120,SMI,eyetracking
89,0,89,43,3.589041096,years,1600,1200,120,SMI,eyetracking
90,0,90,43,3.589041096,years,1600,1200,120,SMI,eyetracking
91,0,91,44,3.657534247,years,1600,1200,120,SMI,eyetracking
92,0,92,44,3.687671233,years,1600,1200,120,SMI,eyetracking
93,0,93,44,3.706849315,years,1600,1200,120,SMI,eyetracking
94,0,94,45,3.756164384,years,1600,1200,120,SMI,eyetracking
95,0,95,46,3.791780822,years,1600,1200,120,SMI,eyetracking
96,0,96,47,3.917808219,years,1600,1200,120,SMI,eyetracking
97,0,97,47,3.928767123,years,1600,1200,120,SMI,eyetracking
98,0,98,48,4.024657534,years,1600,1200,120,SMI,eyetracking
99,0,99,49,4.1095890410000004,years,1600,1200,120,SMI,eyetracking
100,0,100,50,4.180821918,years,1600,1200,120,SMI,eyetracking
101,0,101,51,4.219178082,years,1600,1200,120,SMI,eyetracking
102,0,102,52,4.356164384,years,1600,1200,120,SMI,eyetracking
103,0,103,54,4.526027397,years,1600,1200,120,SMI,eyetracking
104,0,104,55,4.547945205,years,1600,1200,120,SMI,eyetracking
105,0,105,56,4.630136986,years,1600,1200,120,SMI,eyetracking
106,0,106,56,4.682191781,years,1600,1200,120,SMI,eyetracking
107,0,107,58,4.794520548,years,1600,1200,120,SMI,eyetracking
108,0,108,60,4.98630137,years,1600,1200,120,SMI,eyetracking
109,0,109,28,2.347945205,years,1600,1200,120,SMI,eyetracking
